,created_at,tweets,mentioned_company
0,Sun Apr 14 01:47:25 +0000 2019,"just out: the usa has the absolute legal right to have apprehended illegal immigrants transferred to sanctuary cities. we hereby demand that they be taken care of at the highest level, especially by the state of california, which is well known or its poor { MANAGEMENT } &amp; high taxes!","Apartment Investment & Management, Waste Management Inc., "
7,Sat Apr 13 22:37:52 +0000 2019,great playing by @tigerwoods (at the) @themasters. tomorrow will be a big and exciting day for golf and for sports. many fantastic players in the hunt. ratings gold - good luck to all!,"J. B. Hunt Transport Services, "
11,Sat Apr 13 11:54:45 +0000 2019,"i agree with kim jong un of north korea that our personal relationship remains very good, perhaps the term excellent would be even more accurate, and that a { THIRD } summit would be good in that we fully understand where we each stand. north korea has tremendous potential for.......","Fifth Third Bancorp, "
20,Sat Apr 13 02:30:47 +0000 2019,"if the radical left democrats all of a sudden don’t want the illegal migrants in their sanctuary cities (no more open arms), why should others be expected to take them into their communities? go { HOME } and come into our country legally and through a system of merit!","Fortune Brands Home & Security, Home Depot, "
27,Fri Apr 12 13:46:27 +0000 2019,"“democrats don’t like the results of the mueller report, so now they’re trying everything else.”  @repdougcollins  they should stop wasting time and money and get back to real legislating, especially on the border!","Everest Re Group Ltd., "
28,Fri Apr 12 13:37:30 +0000 2019,"president obama’s top white house lawyer, gregory b. craig, was indicted yesterday on very serious charges. this is a really big story, but the fake news new york times didn’t even put it on page one, rather page 16. @washingtonpost not much better, “tiny” page one. corrupt news!","News Corp. Class B, Twenty-First Century Fox Class B, "
29,Fri Apr 12 13:06:42 +0000 2019,"“i don’t need to know any more. we’re done, absolutely done, he (mueller) tried the case. there’s no collusion.” @lindseygrahamsc  @foxandfriends  no matter what we do or give to the radical left, it will never be enough!","Everest Re Group Ltd., "
31,Fri Apr 12 00:44:16 +0000 2019,rt @chuckwoolery: president trump continues to tally up wins for our country as americans just saw the best { INCOME } gains in over 50 years.…,"Realty Income Corporation, "
32,Fri Apr 12 00:32:40 +0000 2019,rt @dailycaller: every cnn presidential town hall finished behind msnbc and { FOX } news in ratings https://t.co/mudzglt4u7,"Twenty-First Century Fox Class A, Twenty-First Century Fox Class B, "
64,Tue Apr 09 15:36:17 +0000 2019,"“what’s completely unacceptable is for congesswoman omar to { TARGET } jews, in this case stephen miller.” jeff ballabon, b2 strategic, ceo.  @varneyco","Target Corp., "
69,Tue Apr 09 11:34:39 +0000 2019,"the world trade organization finds that the european union subsidies to airbus has adversely impacted the united states, which will now put tariffs on $11 billion of eu products! the eu has taken advantage of the u.s. on trade for many years. it will soon stop!","Air Products & Chemicals Inc, Maxim Integrated Products Inc, "
71,Tue Apr 09 04:50:22 +0000 2019,"rt @whitehouse: the newly constructed 30-foot wall in calexico, ca, replaces a barrier made of surplus corrugated steel landing mats from t…","Foot Locker Inc, "
