,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text
0,Sun Apr 14 01:47:25 +0000 2019,100876,1117242926654947328,False,28196,Twitter for iPhone,"Just out: The USA has the absolute legal right to have apprehended illegal immigrants transferred to Sanctuary Cities. We hereby demand that they be taken care of at the highest level, especially by the State of California, which is well known or its poor management &amp; high taxes!"
1,Sun Apr 14 01:38:33 +0000 2019,0,1117240692844183553,True,7038,Twitter for iPhone,RT @WhiteHouse: No law that kicks 180 million Americans off their plans is acceptable. While Democrats abandon Obamacare for more socialism…
2,Sun Apr 14 00:08:37 +0000 2019,72501,1117218059738079233,False,21754,Twitter for iPhone,"Democrats must change the Immigration Laws FAST. If not, Sanctuary Cities must immediately ACT to take care of the Illegal Immigrants - and this includes Gang Members, Drug Dealers, Human Traffickers, and Criminals of all shapes, sizes and kinds. CHANGE THE LAWS NOW!"
3,Sun Apr 14 00:01:02 +0000 2019,88275,1117216153728897024,False,24314,Twitter for iPhone,"....So interesting to see the Mayor of Oakland and other Sanctuary Cities NOT WANT our currently “detained immigrants” after release due to the ridiculous court ordered 20 day rule. If they don’t want to serve our Nation by taking care of them, why should other cities &amp; towns?"
4,Sat Apr 13 23:51:55 +0000 2019,58160,1117213859696267264,False,15164,Twitter for iPhone,"I never offered Pardons to Homeland Security Officials, never ordered anyone to close our Southern Border (although I have the absolute right to do so, and may if Mexico does not apprehend the illegals coming to our Border), and am not “frustrated.” It is all Fake &amp; Corrupt News!"
5,Sat Apr 13 23:38:27 +0000 2019,65920,1117210469629071360,False,15957,Twitter for iPhone,"....When I won the Election in 2016, the @nytimes had to beg their fleeing subscribers for forgiveness in that they covered the Election (and me) so badly. They didn’t have a clue, it was pathetic. They even apologized to me. But now they are even worse, really corrupt reporting!"
6,Sat Apr 13 23:30:41 +0000 2019,57860,1117208514202669056,False,15751,Twitter for iPhone,"The New York Times Sanctuary Cities/Immigration story today was knowingly wrong on almost every fact. They never call to check for truth. Their sources often don’t even exist, a fraud. They will lie &amp; cheat anyway possible to make me look bad. In 6 years they will be gone........"
7,Sat Apr 13 22:37:52 +0000 2019,59893,1117195221891203077,False,10603,Twitter for iPhone,Great playing by @TigerWoods (at the) @TheMasters. Tomorrow will be a big and exciting day for golf and for sports. Many fantastic players in the hunt. Ratings Gold - Good luck to all!
8,Sat Apr 13 16:01:11 +0000 2019,0,1117095396692635650,True,69709,Twitter for iPhone,RT @realDonaldTrump: WE WILL NEVER FORGET! https://t.co/VxrGFRFeJM
9,Sat Apr 13 12:21:05 +0000 2019,104747,1117040007016009728,False,27675,Twitter for iPhone,"Why should Radical Left Democrats in Congress have a right to retry and examine the $35,000,000 (two years in the making) No Collusion Mueller Report, when the crime committed was by Crooked Hillary, the DNC and Dirty Cops? Attorney General Barr will make the decision!"
10,Sat Apr 13 12:04:18 +0000 2019,71230,1117035779589648386,False,15119,Twitter for iPhone,"....extraordinary growth, economic success and riches under the leadership of Chairman Kim. I look forward to the day, which could be soon, when Nuclear Weapons and Sanctions can be removed, and then watching North Korea become one of the most successful nations of the World!"
11,Sat Apr 13 11:54:45 +0000 2019,80377,1117033379776667648,False,17501,Twitter for iPhone,"I agree with Kim Jong Un of North Korea that our personal relationship remains very good, perhaps the term excellent would be even more accurate, and that a third Summit would be good in that we fully understand where we each stand. North Korea has tremendous potential for......."
12,Sat Apr 13 03:51:00 +0000 2019,105608,1116911640568573952,False,31380,Twitter for iPhone,"In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants. No wonder so many people are leaving N.Y. Very Sad!"
13,Sat Apr 13 03:33:05 +0000 2019,101333,1116907128445394944,False,27519,Twitter for iPhone,"Another Fake Story on @NBCNews that I offered Pardons to Homeland Securiy personnel in case they broke the law regarding illegal immigration and sanctuary cities. Of course this is not True. Mainstream Media is corrupt and getting worse, if that is possible, every day!"
14,Sat Apr 13 02:59:36 +0000 2019,56266,1116898703682543616,False,15685,Twitter for iPhone,A Fake Story by Politico. Made up sources. Thank you Mount Vernon! https://t.co/Pf60zBy6Sw
15,Sat Apr 13 02:51:24 +0000 2019,0,1116896641775296513,True,20788,Twitter for iPhone,RT @politicalelle: How is this woman walking the halls of Congress. How. https://t.co/CrtK7j3wpZ
16,Sat Apr 13 02:45:25 +0000 2019,0,1116895132270383104,True,11459,Twitter for iPhone,"RT @dbongino: With the exception of FISA warrants, the use of human intelligence assets, the use of national security letters, &amp; the unprec…"
17,Sat Apr 13 02:42:07 +0000 2019,31776,1116894304063107072,False,8258,Twitter for iPhone,"Finally, great news at the Border! https://t.co/nofzYa2Qs7"
18,Sat Apr 13 02:38:54 +0000 2019,1,1116893495460016128,False,3,Twitter for iPhone,Finally great news at the Border! https://t.co/nofzYa2Qs7
19,Sat Apr 13 02:35:03 +0000 2019,51655,1116892526533857280,False,13588,Twitter for iPhone,"Thank you Jeh, so well stated! https://t.co/4QmP6XrUVA"
20,Sat Apr 13 02:30:47 +0000 2019,112796,1116891452003557376,False,32286,Twitter for iPhone,"If the Radical Left Democrats all of a sudden don’t want the Illegal Migrants in their Sanctuary Cities (no more open arms), why should others be expected to take them into their communities? Go home and come into our Country legally and through a system of Merit!"
21,Fri Apr 12 23:26:32 +0000 2019,50971,1116845082945171457,False,14818,Twitter for iPhone,WSJ's Strassel: Barr 'Right' to Say 'Spying' Occurred on Trump Campaign | Breitbart https://t.co/YuC9IX01GF via @BreitbartNews
22,Fri Apr 12 22:38:45 +0000 2019,0,1116833058840293381,True,12984,Twitter for iPhone,RT @trish_regan: .@CLewandowski_ says he is POSITIVE orders to spy on the #Trump campaign during 2016 came from the HIGHEST levels – perhap…
23,Fri Apr 12 21:35:31 +0000 2019,230870,1116817144006750209,False,83999,Twitter Media Studio,WE WILL NEVER FORGET! https://t.co/VxrGFRFeJM
24,Fri Apr 12 16:38:02 +0000 2019,115450,1116742282286440448,False,25646,Twitter for iPhone,"....The Radical Left always seems to have an Open Borders, Open Arms policy – so this should make them very happy!"
25,Fri Apr 12 16:38:02 +0000 2019,164393,1116742280919044096,False,39637,Twitter for iPhone,"Due to the fact that Democrats are unwilling to change our very dangerous immigration laws, we are indeed, as reported, giving strong considerations to placing Illegal Immigrants in Sanctuary Cities only...."
