,Freq
HUNT,81.0
JAMES,56.0
J.,25.0
ROBERT,17.0
HENRY,14.0
FOX,8.0
MARTIN,7.0
TOWER,7.0
ANTHEM,6.0
DOLLAR,6.0
MOTORS,6.0
CAPITAL,5.0
NORTHERN,5.0
KANSAS,5.0
GLOBAL,5.0
DOW,5.0
BAKER,4.0
MEDICAL,4.0
MEXICAN,4.0
WATERS,4.0
HARLEY-DAVIDSON,4.0
RESEARCH,4.0
ROSS,3.0
PFIZER,3.0
PROPERTY,3.0
INTEL,3.0
PACIFIC,3.0
RALPH,3.0
STANLEY,3.0
JACK,3.0
LINCOLN,3.0
CHARLES,3.0
HILTON,3.0
AUTO,3.0
"TWITTER,",3.0
CBS,3.0
APPLE,3.0
PUBLIC,3.0
CROWN,2.0
LAMB,2.0
INDUSTRIES,2.0
FORD,2.0
H.,2.0
NIKE,2.0
CITIZENS,2.0
COMCAST,2.0
SOUTHWEST,2.0
ARTHUR,2.0
HARRIS,2.0
LOCKER,2.0
WESTERN,2.0
VISA,1.0
INFORMATION,1.0
MOTOR,1.0
KRAFT,1.0
UNIVERSAL,1.0
CLASS,1.0
EMERSON,1.0
MORGAN,1.0
PRODUCTS,1.0
BOEING,1.0
B.,1.0
WORLDWIDE,1.0
JOHNSON,1.0
BOSTON,1.0
NIELSEN,1.0
D.,1.0
"SERVICES,",1.0
STARBUCKS,1.0
DOVER,1.0
ELECTRIC,1.0
MANAGEMENT,1.0
NATURAL,1.0
SMITH,1.0
"FACEBOOK,",1.0
ILLINOIS,1.0
WELLS,1.0
MANAGERS,1.0
FISHER,1.0
POWER,1.0
INCOME,1.0
PAYNE,1.0
CHASE,1.0
