,0
0,&
1,(Eli)
2,(W.W.)
3,3M
4,66
5,A
6,A.O.
7,ABIOMED
8,AES
9,AFLAC
10,AMETEK
11,ANSYS
12,AT&T
13,AbbVie
14,Abbott
15,Accenture
16,Activision
17,Adobe
18,Advance
19,Advanced
20,Affiliated
21,Agilent
22,Air
24,Akamai
25,Alaska
26,Albemarle
27,Alexandria
28,Alexion
29,Align
30,Allegion
31,"Allergan,"
33,Alliant
34,Allstate
35,Alphabet
36,Altria
37,Amazon.com
38,Ameren
39,America
40,American
41,Ameriprise
42,AmerisourceBergen
43,Amgen
44,Amphenol
45,Anadarko
46,Analog
47,Analytics
48,Anthem
49,Aon
50,Apache
51,Apartment
52,Apartments
53,Apple
54,Applied
55,Aptiv
56,Archer-Daniels-Midland
57,Arconic
58,Arista
59,Armour
60,Arthur
62,Associates
63,Assurant
64,Atmos
65,Auto
66,AutoZone
67,Autodesk
68,Automatic
69,Automation
71,AvalonBay
72,Avery
73,B
74,B.
75,BB&T
76,Baker
77,Ball
78,Bancorp
79,Bancshares
81,Banks
82,Baxter
84,Becton
85,Berkshire
86,Best
87,Beverage
88,Biogen
89,Biomet
90,Black
91,BlackRock
92,Blizzard
93,Block
94,Boeing
95,Booking
96,Boots
97,BorgWarner
98,Boston
100,Brewing
101,Bristol-Myers
102,Broadcom
103,Broadridge
104,Brown-Forman
105,Business
106,Buy
107,C
108,C.
109,CBRE
110,CBS
111,CF
112,CIGNA
113,CME
114,CMS
115,CSX
116,CVS
117,Cabot
118,Cadence
119,Campbell
120,Capital
121,Capri
122,Cardinal
123,Caribbean
124,Carmax
125,Carnival
126,Castle
127,Caterpillar
128,Cboe
129,Celanese
130,Celgene
131,Centene
132,CenterPoint
133,Centers
134,Century
135,CenturyLink
136,Cerner
137,Charles
138,Charter
139,Chase
141,Chemicals
142,Chevron
143,Chipotle
144,Chubb
145,Church
146,Cimarex
147,Cincinnati
148,Cintas
149,Cisco
150,Citigroup
151,Citizens
152,Citrix
153,City
154,Class
155,Clorox
157,Co.
158,Coca-Cola
159,Cognizant
160,Colgate-Palmolive
161,Comcast
162,Comerica
164,"Communities,"
167,Conagra
168,Concho
169,Connectivity
170,ConocoPhillips
171,Consolidated
172,Constellation
173,Continental
174,Controls
175,Cooper
176,Coors
177,Copart
178,Corning
183,Costco
184,"Coty,"
185,Crown
186,Cruise
187,Cruises
188,Cummins
189,D.
190,DTE
191,DXC
192,DaVita
193,Danaher
194,Darden
195,Data
196,Decker
197,Deere
198,Delta
199,Dennison
200,Dentsply
201,Depot
202,Design
203,Devices
204,"Devices,"
205,Devon
206,Diagnostics
207,Diamondback
208,Dickinson
209,Digital
210,Discover
211,Discovery
212,Dish
213,Disney
214,Dollar
215,Dominion
216,Dover
217,Dow
218,DowDuPont
219,Duke
220,Dwight
222,E*Trade
223,EOG
224,Eastman
225,Eaton
226,Ecolab
227,Edison
228,Edwards
229,Electric
230,Electronic
231,Emerson
233,Engineering
234,Entergy
235,Enterprise
236,Equifax
237,Equinix
239,Equity
240,Essex
241,Estate
242,Estee
243,Everest
244,Evergy
245,Eversource
247,Exelon
248,Expedia
249,Expeditors
250,Express
251,Extra
252,Exxon
253,F5
254,FLIR
255,FMC
256,"Facebook,"
257,Fargo
258,Fastenal
259,FedEx
260,Federal
261,Fidelity
262,Fifth
264,First
265,FirstEnergy
266,Fiserv
267,Fisher
268,Flavors
269,FleetCor
270,Flowserve
271,Fluor
273,Foot
274,Ford
275,Fortinet
276,Fortive
277,Fortune
278,Fox
279,Fragrances
280,Franklin
281,Freeport-McMoRan
282,GE
283,Gallagher
284,Gamble
285,Gap
286,Garmin
287,Gartner
288,Gas
289,General
290,Genuine
291,Gilead
292,Global
293,"Global,"
294,Goldman
295,Grainger
296,Green
297,Grill
299,Grumman
300,H&R
301,H.
302,HCA
303,HCP
304,HP
305,Half
306,Halliburton
307,Hanesbrands
308,Harley-Davidson
309,Harris
310,Hartford
311,Hasbro
312,Hat
313,Hathaway
315,Heinz
316,Helmerich
317,Henry
318,Hershey
319,Hess
320,Hewlett
321,Hilton
324,HollyFrontier
325,Hologic
326,Home
327,Homes
328,Honeywell
329,Hormel
330,Horton
331,Host
332,Hotels
333,"Hughes,"
334,Humana
335,Hunt
336,Huntington
337,IDEXX
338,IHS
339,IPG
340,IQVIA
341,Illinois
342,Illumina
345,Income
347,Incyte
348,Industries
349,Information
350,Ingalls
351,Ingersoll-Rand
352,Instruments
355,Integrated
356,Intel
357,Interactive
358,Intercontinental
360,Interpublic
361,Intl
362,Intuit
363,Intuitive
364,Invesco
366,Iron
367,J.
368,JM
369,JPMorgan
370,Jack
371,Jacobs
372,James
373,Jefferies
374,Johnson
375,Juniper
376,KLA-Tencor
377,Kansas
378,Kellogg
379,KeyCorp
380,Keysight
381,Kimberly-Clark
382,Kimco
383,Kinder
384,Kohl's
385,Kraft
386,Kroger
387,L
388,L-3
389,LKQ
391,Laboratory
392,Lam
393,Lamb
394,Lauder
395,Lauren
396,Leggett
397,Lennar
399,Lilly
401,Lincoln
402,Linde
403,Line
404,Lines
405,Locker
406,Lockheed
407,Loews
408,Lowe's
411,LyondellBasell
412,M&T
413,MGM
