,AAR,t_statistic,p_values
-10,0.09%,0.477,0.6365
-9,-0.03%,-0.1302,0.8972
-8,0.05%,0.1787,0.8592
-7,-0.06%,-0.2237,0.8244
-6,0.17%,0.75,0.4586
-5,0.29%,1.2494,0.2203
-4,0.09%,0.4139,0.6816
-3,-0.01%,-0.0414,0.9672
-2,0.41%,1.3986,0.1713
-1,0.41%*,1.8404,0.0747
0,0.23%,0.7912,0.4345
1,-0.10%,-0.5532,0.5839
2,-0.68%*,-1.8488,0.0735
3,-0.02%,-0.075,0.9407
4,-0.30%,-1.2906,0.2058
5,0.17%,0.6703,0.5073
6,0.10%,0.3724,0.712
7,-0.11%,-0.7197,0.4768
8,0.27%,1.0065,0.3215
9,0.09%,0.4158,0.6803
10,-0.06%,-0.2888,0.7745
