,Stock,Intercept,Slope
0,Ford,-0.00089(-0.88),0.84(8.57)***
1,General Motors ,0.00022(0.20),0.92(8.45)***
2,Toyota,-0.00022(-0.37),0.70(12.15)***
3,Fiat Chrysler,-0.00158(-1.08),1.22(8.73)***
4,General Motors ,-0.00074(-0.67),0.95(8.11)***
5,General Motors ,-0.00084(-0.76),0.94(7.99)***
6,Pfizer,0.00017(0.34),0.83(13.35)***
7,Pfizer,0.00011(0.23),0.84(13.38)***
8,Harley Davidson,-0.00127(-1.28),0.78(6.22)***
9,Amazon,0.00161(1.93)*,1.05(8.41)***
10,Fox Corporation,0.00038(0.37),0.88(5.21)***
11,Chase Corporation,0.00019(0.16),1.46(5.42)***
12,Toyota,-0.00017(-0.38),0.86(8.20)***
13,Amazon,0.00097(1.24),1.32(7.18)***
14,Broadcom,0.00008(0.09),1.70(9.22)***
15,American Airlines,-0.00013(-0.12),1.90(8.89)***
16,Amazon,0.00049(0.71),1.17(8.73)***
17,Merck,-0.00026(-0.41),0.83(6.79)***
18,Ford,-0.00087(-1.08),1.32(10.43)***
19,Exxon Mobil,-0.00048(-0.93),0.81(10.18)***
20,General Motors,0.00002(0.03),1.14(10.41)***
21,Walmart,0.00028(0.39),0.48(5.27)***
22,Ford,-0.00076(-0.92),1.26(12.38)***
23,Fiat Chrysler,-0.00105(-0.66),2.13(10.85)***
24,Toyota,-0.00027(-0.35),1.14(12.13)***
25,Ford,-0.00062(-0.74),1.26(12.37)***
26,General Motors,0.00027(0.31),1.06(10.18)***
27,Rexnord,0.00001(0.01),1.65(12.63)***
28,Boeing,-0.00012(-0.16),1.25(14.28)***
29,Lockheed Martin,0.00082(1.30),0.51(6.98)***
30,Lockheed Martin,0.00065(1.02),0.48(6.35)***
31,Ford,-0.00085(-1.08),1.27(14.18)***
32,United Technologies,0.00029(0.58),0.88(15.66)***
33,United Technologies,0.00046(0.88),0.88(15.01)***
34,Softbank,0.00050(0.36),1.20(7.56)***
35,Boeing,0.00002(0.02),1.24(13.79)***
