,AAR,t_statistic,p_values
-10,0.10%,0.4279,0.6691
-9,-0.03%,-0.1124,0.9106
-8,0.05%,0.1866,0.8521
-7,-0.06%,-0.2301,0.8182
-6,0.17%,0.6855,0.4937
-5,0.29%,1.1759,0.2408
-4,0.09%,0.3848,0.7008
-3,-0.01%,-0.0235,0.9812
-2,0.41%*,1.6823,0.0938
-1,0.41%*,1.6887,0.0925
0,0.23%,0.9533,0.3413
1,-0.11%,-0.4306,0.6672
2,-0.68%***,-2.7595,0.0062
3,-0.01%,-0.0534,0.9574
4,-0.29%,-1.2021,0.2305
5,0.18%,0.7269,0.468
6,0.11%,0.4385,0.6614
7,-0.09%,-0.3689,0.7125
8,0.26%,1.0637,0.2885
9,0.10%,0.4112,0.6813
10,-0.03%,-0.1417,0.8874
