,Stock,Intercept,Slope
0,Ford,-0.00066(-0.68),0.83(8.65)***
1,General Motors ,0.00023(0.21),0.91(8.57)***
2,Toyota,-0.00028(-0.48),0.69(12.21)***
3,Fiat Chrysler,-0.00167(-1.19),1.21(8.95)***
4,General Motors ,-0.00086(-0.81),0.95(8.16)***
5,General Motors ,-0.00080(-0.75),0.95(8.17)***
6,APPLE,0.00047(0.73),1.11(13.70)***
7,Tribue Media company,-0.00034(-0.58),0.26(3.54)***
8,Sinclair Broadcast Group,-0.00024(-0.18),0.64(3.75)***
9,Novartis,-0.00050(-0.94),0.77(11.47)***
10,Pfizer,0.00007(0.14),0.82(13.57)***
11,Pfizer,0.00003(0.05),0.83(13.67)***
12,Harley-Davidson,-0.00111(-1.15),0.76(6.21)***
13,Amazon,0.00181(2.24)**,1.05(8.51)***
14,Fox Corporation,0.00035(0.34),0.89(5.43)***
15,Fiat Chrysler,0.00181(1.42),2.17(7.31)***
16,J P Morgan Chase & Co,-0.00010(-0.19),1.46(12.00)***
17,Walt Disney Company ,-0.00031(-0.51),0.52(3.61)***
18,Chase Corporation,0.00011(0.09),1.51(5.76)***
19,apple,0.00068(1.13),1.40(9.88)***
20,Fiat Chrysler,0.00131(0.99),2.04(6.57)***
21,Toyota,-0.00012(-0.28),0.88(8.55)***
22,Amazon,0.00091(1.21),1.31(7.37)***
23,BROADCOM,0.00026(0.31),1.67(9.25)***
24,american  AIRLINES,-0.00040(-0.39),1.81(8.90)***
25,Amazon,0.00045(0.68),1.16(8.89)***
26,Merck,-0.00003(-0.04),0.94(6.75)***
27,"Amazon.com, Inc.",0.00062(0.96),1.14(9.01)***
28,"Merck & Company, Inc.",-0.00011(-0.16),0.94(6.89)***
29,"Pfizer, Inc.",-0.00061(-1.10),0.87(8.06)***
30,Corning Incorporated,0.00091(1.77)*,1.28(12.85)***
31,Amazon.com Inc.,0.00048(0.73),1.13(8.90)***
32,Rexnord Corporation,0.00207(0.73),1.56(3.39)***
33,Ford Motor Company,-0.00092(-1.18),1.32(10.68)***
34,Exxon* ,-0.00050(-0.97),0.83(10.61)***
35,Intel Corporation,0.00013(0.23),1.20(15.92)***
36,"Nordstrom, Inc.",-0.00106(-0.72),1.19(6.00)***
37,General Motors Company,0.00019(0.22),1.11(10.14)***
38,General Motors Company,0.00002(0.03),1.09(10.60)***
39,Walmart Inc.,0.00029(0.40),0.49(5.59)***
40,Ford Motor Company,-0.00083(-1.02),1.26(12.89)***
41,Fiat Chrysler Automobiles ,-0.00105(-0.68),2.10(11.36)***
42,Toyota Motor Corp Ltd Ord,-0.00040(-0.54),1.14(12.77)***
43,Ford Motor Company,-0.00080(-0.98),1.25(12.92)***
44,General Motors Company,0.00000(0.00),1.08(10.62)***
45,Rexnord ,-0.00013(-0.11),1.62(12.78)***
46,Boeing ,-0.00013(-0.18),1.23(14.69)***
47,Lockheed Martin ,0.00075(1.22),0.51(7.32)***
48,Lockheed Martin ,0.00060(0.97),0.49(6.74)***
49,Ford ,-0.00077(-1.01),1.26(14.61)***
50,United Technologies ,0.00010(0.21),0.88(15.86)***
51,United Technologies* ,0.00029(0.58),0.87(15.17)***
52,Softbank ,0.00039(0.29),1.15(7.54)***
53,Boeing ,-0.00010(-0.13),1.25(14.48)***
